,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,geometry
154,11,2016,4,6,11,3,5,3,1,0,0,0,0,1,0,1,8.796629315,53.089221404,Walle,Utbremen,POINT (8.796629315000001 53.089221404)
155,11,2016,4,2,9,3,3,6,1,0,0,0,0,0,0,0,8.801308121,53.071498151,Neustadt,Alte Neustadt,POINT (8.801308121 53.071498151)
156,11,2016,3,6,17,3,5,3,1,1,0,0,0,0,1,0,8.737291418,53.134140503,Gröpelingen,Oslebshausen,POINT (8.737291418 53.134140503)
157,11,2016,3,7,14,3,6,7,1,0,1,0,0,0,0,0,8.735067186,53.038056267,Huchting,Kirchhuchting,POINT (8.735067186 53.038056267)
158,11,2016,4,5,13,3,4,6,1,0,0,0,0,0,0,0,8.810548366,53.075253184,Mitte,Altstadt,POINT (8.810548366000001 53.075253184)
159,11,2016,3,7,15,3,5,2,1,1,0,0,0,0,0,0,8.768206656,53.104375033,Walle,Walle,POINT (8.768206656 53.104375033)
160,12,2016,3,5,16,3,0,1,1,0,0,0,0,0,0,0,8.59146205,53.543692504,Geestemünde,Buschkämpen,POINT (8.591462050000001 53.543692504)
161,11,2016,4,1,22,3,0,7,1,0,0,0,0,0,2,0,8.80173235,53.06789362,Neustadt,Südervorstadt,POINT (8.80173235 53.06789362)
162,12,2016,3,5,7,3,5,3,1,1,0,0,0,0,0,0,8.595208056,53.538989637,Geestemünde,Buschkämpen,POINT (8.595208056000001 53.538989637)
163,11,2016,4,4,12,3,0,7,1,0,0,0,0,0,0,0,8.826528399,53.072903557,Östliche Vorstadt,Steintor,POINT (8.826528399000001 53.072903557)
164,11,2016,4,6,10,2,5,3,1,1,0,0,0,0,0,0,8.887635199,53.069705466,Hemelingen,Sebaldsbrück,POINT (8.887635199 53.069705466)
165,11,2016,3,7,18,3,0,7,1,0,0,0,0,0,0,0,8.612186617,53.178596401,Vegesack,Fähr-Lobbendorf,POINT (8.612186617000001 53.178596401)
